external_id,title,thumbnail_url,authors,update_days,provider,source_url
naver_823190,"K학원 생존기",https://image-comic.pstatic.net/webtoon/823190/thumbnail/thumbnail_IMAG21_7e4185fa-4b5c-44e5-ba21-b39e2ab5c22b.jpg,"양아최",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=823190
naver_814594,"개같이 탈출",https://image-comic.pstatic.net/webtoon/814594/thumbnail/thumbnail_IMAG21_8746b12b-566e-4375-b0ab-1eaf48e17a1d.jpg,"갬쟈",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=814594
naver_741891,"결혼생활 그림일기",https://image-comic.pstatic.net/webtoon/741891/thumbnail/thumbnail_IMAG21_47b971e4-00b6-451b-862e-1060bae5a80d.jpg,"은꼼지",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=741891
naver_818528,"공녀님의 꽃밭에는 그들이 산다",https://image-comic.pstatic.net/webtoon/818528/thumbnail/thumbnail_IMAG21_0f920e3a-0a21-4a77-a606-ab8eff26004b.jpg,"검오리,영락,고겨울",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=818528
naver_822573,"귀촌리",https://image-comic.pstatic.net/webtoon/822573/thumbnail/thumbnail_IMAG21_d5b20239-59d8-4274-85ef-3d096420738c.jpg,"황양,이대한",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=822573
naver_827077,"기사식당",https://image-comic.pstatic.net/webtoon/827077/thumbnail/thumbnail_IMAG21_8ad2d767-97fe-493a-bd6e-51f562a61ec9.jpg,"신의철,스릴",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=827077
naver_827160,"기생몽",https://image-comic.pstatic.net/webtoon/827160/thumbnail/thumbnail_IMAG21_dd154be9-ff45-4fef-bee5-f484a14463fe.jpg,"닺",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=827160
naver_687915,"꿈의 기업",https://image-comic.pstatic.net/webtoon/687915/thumbnail/thumbnail_IMAG21_d46ad6b8-e9a8-4bc8-b501-e62adfee0eb6.jpg,"문지현",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=687915
naver_819698,"나의 보이소프렌드",https://image-comic.pstatic.net/webtoon/819698/thumbnail/thumbnail_IMAG21_3376cf6c-a620-4782-a002-24ea6910771d.jpg,"망공이",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=819698
naver_817019,"날 먹는 건 금지양!",https://image-comic.pstatic.net/webtoon/817019/thumbnail/thumbnail_IMAG21_6845792d-40db-4cd9-ab7a-9b86995f3383.jpg,"조9",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=817019
naver_823972,"내가 쓴 소설 속 주인공들이 나를 죽이려 드는데요?",https://image-comic.pstatic.net/webtoon/823972/thumbnail/thumbnail_IMAG21_5619eae3-7c32-42cb-a0dd-f2805a6e5755.jpg,"포카리",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=823972
naver_819983,"내가 왜 킬러?!",https://image-comic.pstatic.net/webtoon/819983/thumbnail/thumbnail_IMAG21_e7252603-401a-4010-b779-19308ae4968e.jpg,"규잉",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=819983
naver_822193,"녹빛자정의 연인",https://image-comic.pstatic.net/webtoon/822193/thumbnail/thumbnail_IMAG21_69615f2c-f23a-41af-967c-0164f1ebc9a8.jpg,"백작",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=822193
naver_820800,"다육이는 잘 자란다",https://image-comic.pstatic.net/webtoon/820800/thumbnail/thumbnail_IMAG21_2e0d120b-ae74-49fd-886a-b9e1eab4c2ae.jpg,"도국",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=820800
naver_784107,"달로 만든 아이",https://image-comic.pstatic.net/webtoon/784107/thumbnail/thumbnail_IMAG21_98a19f14-de9a-491d-bc11-a3103e7e671d.jpg,"온윤",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=784107
naver_823192,"달이 뜨지 않는 도시",https://image-comic.pstatic.net/webtoon/823192/thumbnail/thumbnail_IMAG21_73a3d8f8-481c-4348-bd6e-8ad166e0b59c.jpg,"뚱귤",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=823192
naver_769663,"더블클릭",https://image-comic.pstatic.net/webtoon/769663/thumbnail/thumbnail_IMAG21_935bf47d-9219-4f45-8a58-d5a7af13ce51.jpg,"김장훈,박수봉,박수봉",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=769663
naver_819202,"두 번째 삶은 힐링라이프?",https://image-comic.pstatic.net/webtoon/819202/thumbnail/thumbnail_IMAG21_a158cef6-6248-42ee-bce7-8f4f57fc0d5f.jpg,"당토",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=819202
naver_774866,"똑 닮은 딸",https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_b03cd4bd-bc74-4469-a501-20896bcc887f.jpg,"이담",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=774866
naver_802039,"루루라라 우리네 인생",https://image-comic.pstatic.net/webtoon/802039/thumbnail/thumbnail_IMAG21_a7a82a34-586c-4acf-b6f2-ab052be786f1.jpg,"현이씨",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=802039
naver_820897,"마왕을 그만둔 이유",https://image-comic.pstatic.net/webtoon/820897/thumbnail/thumbnail_IMAG21_90f68f1d-cc97-4357-b7e8-de994918ff8d.jpg,"김대일,이상혁",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=820897
naver_679568,"마이너스의 손",https://image-comic.pstatic.net/webtoon/679568/thumbnail/thumbnail_IMAG21_0e7abd73-060d-42eb-afed-65cafc457104.jpg,"김뎐",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=679568
naver_823022,"막장 악녀",https://image-comic.pstatic.net/webtoon/823022/thumbnail/thumbnail_IMAG21_3e1387d0-0113-4f2a-99d6-fd6b1e60ee65.jpg,"LICO,사야",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=823022
naver_759940,"만렙돌파",https://image-comic.pstatic.net/webtoon/759940/thumbnail/thumbnail_IMAG21_3976787538998813497.jpg,"성불예정,준1,미노",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=759940
naver_814781,"미친 재능의 플레이어",https://image-comic.pstatic.net/webtoon/814781/thumbnail/thumbnail_IMAG21_c88e92fa-e109-47d6-8a59-912749ff3a40.jpg,"S-Nanyc,호라칸,체나",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=814781
naver_818810,"반려짐승",https://image-comic.pstatic.net/webtoon/818810/thumbnail/thumbnail_IMAG21_4dbca925-6ea4-4561-b1b2-eb0df0089eeb.jpg,"래형",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=818810
naver_733074,"백수세끼",https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg,"치즈",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=733074
naver_745654,"백호랑",https://image-comic.pstatic.net/webtoon/745654/thumbnail/thumbnail_IMAG21_3978989878055821874.jpg,"박혬",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=745654
naver_796867,"버림받은 왕녀의 은밀한 침실",https://image-comic.pstatic.net/webtoon/796867/thumbnail/thumbnail_IMAG21_77aa5064-b42b-4838-912e-2c6266c53a74.jpg,"혜니,성혜림",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=796867
naver_806189,"별난식당",https://image-comic.pstatic.net/webtoon/806189/thumbnail/thumbnail_IMAG21_292de414-bd9a-418d-a4e9-d97060398223.jpg,HO9,MON,NAVER,https://comic.naver.com/webtoon/list?titleId=806189
naver_818668,"보스리턴",https://image-comic.pstatic.net/webtoon/818668/thumbnail/thumbnail_IMAG21_d8573ab3-e412-4f5f-b36c-e9116e0af93c.jpg,"양세준",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=818668
naver_794421,"북부 공작님을 유혹하겠습니다",https://image-comic.pstatic.net/webtoon/794421/thumbnail/thumbnail_IMAG21_79eb2725-914a-4258-8be1-f11e6652400e.jpg,"가천가,은하수,주시하",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=794421
naver_824782,"불편한 편의점",https://image-comic.pstatic.net/webtoon/824782/thumbnail/thumbnail_IMAG21_2e178b5a-a55c-4c80-aae7-4ad98a1f7563.jpg,"ANGELA,p.P,김호연",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=824782
naver_648419,"뷰티풀 군바리",https://image-comic.pstatic.net/webtoon/648419/thumbnail/thumbnail_IMAG21_d9398229-cbfd-47dc-9208-0a6fb936f3a7.jpg,"설이,윤성원",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=648419
naver_818020,"사랑, 그거 어떻게 하는 건데",https://image-comic.pstatic.net/webtoon/818020/thumbnail/thumbnail_IMAG21_26b574d9-d5b9-4001-8a50-ec348a35e61a.jpg,"이범",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=818020
naver_800333,"사이다걸",https://image-comic.pstatic.net/webtoon/800333/thumbnail/thumbnail_IMAG21_407ea651-d14f-47af-9e06-8813e7160421.jpeg,"김드루,김그루",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=800333
naver_821807,"선빵필승!",https://image-comic.pstatic.net/webtoon/821807/thumbnail/thumbnail_IMAG21_f89791fc-9d16-4b0b-8e39-273063f2e0a0.jpg,"해미",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=821807
naver_654774,"소녀의 세계",https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg,"모랑지",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=654774
naver_824208,"솔로스쿨",https://image-comic.pstatic.net/webtoon/824208/thumbnail/thumbnail_IMAG21_27965ef8-729d-4ef8-972d-a01dc74df924.jpg,"랑쓰,승9",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=824208
naver_821626,"수상한 다이어트 클럽",https://image-comic.pstatic.net/webtoon/821626/thumbnail/thumbnail_IMAG21_4135cf80-5e11-4d35-88f1-b7647636058e.jpg,"스프링",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=821626
naver_814362,"시한부의 아이까지 뺏으려 합니다",https://image-comic.pstatic.net/webtoon/814362/thumbnail/thumbnail_IMAG21_16247d91-5c88-43aa-80e3-f28b2daf868d.jpg,"랍스타,이루이",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=814362
naver_183559,"신의 탑",https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg,SIU,MON,NAVER,https://comic.naver.com/webtoon/list?titleId=183559
naver_795297,"신화급 귀속 아이템을 손에 넣었다",https://image-comic.pstatic.net/webtoon/795297/thumbnail/thumbnail_IMAG21_ceeeead6-8a9c-48ec-a793-f3cc092a0b10.jpg,"정선율,헤스",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=795297
naver_798277,"아슈타르테",https://image-comic.pstatic.net/webtoon/798277/thumbnail/thumbnail_IMAG21_37db1d64-64fd-4be0-ac7f-46408344761b.jpg,"미세초,SOON,안다온",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=798277
naver_825332,"아포칼립스에 집을 숨김",https://image-comic.pstatic.net/webtoon/825332/thumbnail/thumbnail_IMAG21_2ed9c081-22b0-4fd5-8670-8f0dcd0ed578.jpg,"DD,송지형,로드워리어",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=825332
naver_814116,"악녀교실",https://image-comic.pstatic.net/webtoon/814116/thumbnail/thumbnail_IMAG21_6a63ce48-bfe3-4a05-862f-4e6f1b3771c2.jpg,"즛호",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=814116
naver_817365,"악당 가족이 독립을 반대한다",https://image-comic.pstatic.net/webtoon/817365/thumbnail/thumbnail_IMAG21_fa059a74-ca14-4a89-b0d7-841a0c85139a.jpg,"밋츄,하티,이흰",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=817365
naver_816528,"어느날 짝남에게 공작님이 빙의했다",https://image-comic.pstatic.net/webtoon/816528/thumbnail/thumbnail_IMAG21_12b8af45-dcdb-4a37-8ccf-b597e490e55c.jpg,"다담,죽순",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=816528
naver_817945,"어린이집 다니는 구나",https://image-comic.pstatic.net/webtoon/817945/thumbnail/thumbnail_IMAG21_120ad315-8518-4430-bb30-739654b49635.jpg,"구나",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=817945
naver_808760,"어쌔신 크리드 - 잊혀진 사원",https://image-comic.pstatic.net/webtoon/808760/thumbnail/thumbnail_IMAG21_1d65caac-a10d-44c5-b49d-ef1ac0b95a17.jpg,"NOHT, ARC, Ubisoft,Tabii",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=808760
naver_821336,"여고생이 신인데 나만 괴롭힘",https://image-comic.pstatic.net/webtoon/821336/thumbnail/thumbnail_IMAG21_06740ea2-da7a-4e6d-a37f-02d6121a7680.jpg,"박장고,이우",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=821336
naver_776256,"역주행!",https://image-comic.pstatic.net/webtoon/776256/thumbnail/thumbnail_IMAG21_d520a876-7403-4349-a56a-f1203882bed2.jpg,"김현아",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=776256
naver_803123,"연애 연기대상",https://image-comic.pstatic.net/webtoon/803123/thumbnail/thumbnail_IMAG21_8044b60b-1ab2-4849-9640-b3d2f6500068.jpg,"김충전,일공팔",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=803123
naver_734574,"영앤리치가 아니야!",https://image-comic.pstatic.net/webtoon/734574/thumbnail/thumbnail_IMAG21_8688bbf6-1067-465b-9070-4fef7c1ab1cd.jpg,"최삡뺩",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=734574
naver_818780,"영업 천재가 되었다",https://image-comic.pstatic.net/webtoon/818780/thumbnail/thumbnail_IMAG21_ad3cf05d-0b97-47f6-8d4b-181e5906fcca.jpg,"혜림,댄킴,혜림,댄킴",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=818780
naver_817987,"오늘의 일기예보",https://image-comic.pstatic.net/webtoon/817987/thumbnail/thumbnail_IMAG21_d0f95c18-cb15-4ba5-9581-60a7590f61cc.jpg,"지휘",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=817987
naver_817859,"왕과의 야행",https://image-comic.pstatic.net/webtoon/817859/thumbnail/thumbnail_IMAG21_4fadf2ae-3467-4a9d-a6be-4b0313b963e0.jpg,"보리",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=817859
naver_823536,"요리사가 되고 싶은 천마님",https://image-comic.pstatic.net/webtoon/823536/thumbnail/thumbnail_IMAG21_4b4cdcf1-2795-40c4-b8d5-09b209638708.jpg,"필나르,춘삼,점도리",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=823536
naver_813552,"우아한 욕망",https://image-comic.pstatic.net/webtoon/813552/thumbnail/thumbnail_IMAG21_c81f8080-3781-4789-9411-a171d501b01a.jpg,"김종건",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=813552
naver_602910,"윈드브레이커",https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg,"조용석",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=602910
naver_801710,"인섹터",https://image-comic.pstatic.net/webtoon/801710/thumbnail/thumbnail_IMAG21_34aa900b-b42f-4335-bb97-6e85d30db2b8.jpg,"마카빔",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=801710
naver_823496,"일파만파",https://image-comic.pstatic.net/webtoon/823496/thumbnail/thumbnail_IMAG21_55ef3a60-2e0f-4900-bdb7-f6d2928796fc.jpg,"최아서,꿍베",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=823496
naver_768536,"잔불의 기사",https://image-comic.pstatic.net/webtoon/768536/thumbnail/thumbnail_IMAG21_06774772-8958-4f9b-ad2c-895567ec11bc.jpg,"환댕",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=768536
naver_826348,"잘 헤어지는 방법",https://image-comic.pstatic.net/webtoon/826348/thumbnail/thumbnail_IMAG21_3f574fdb-3f86-40e7-a59b-a2023e00eadc.jpg,"강문송,1172",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=826348
naver_796075,"절대검감",https://image-comic.pstatic.net/webtoon/796075/thumbnail/thumbnail_IMAG21_31f75c4c-81c9-454a-8d92-9e23b577e1a5.jpg,"김두루미,티아이,한중월야",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=796075
naver_814566,"제국 제일의 상속녀가 되었습니다",https://image-comic.pstatic.net/webtoon/814566/thumbnail/thumbnail_IMAG21_4f97cbfb-8e3e-445d-848c-ae270c22f5b0.jpg,"한강,요정용",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=814566
naver_783535,"제왕",https://image-comic.pstatic.net/webtoon/783535/thumbnail/thumbnail_IMAG21_4b6a83cd-a5e9-408f-bbac-244f25240394.jpg,"김남규,애풍,콘티메이커",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=783535
naver_814742,"좀비묵시록 82-08",https://image-comic.pstatic.net/webtoon/814742/thumbnail/thumbnail_IMAG21_ec88007f-9d6f-43c2-9a4a-5cbdef1bbde4.jpg,"달아,경우,콘티메이커,박스오피스",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=814742
naver_802854,"주작연애",https://image-comic.pstatic.net/webtoon/802854/thumbnail/thumbnail_IMAG21_07cc3736-c73f-4ec3-8a3b-216d4b0f06fb.jpg,"우까",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=802854
naver_818588,"진주",https://image-comic.pstatic.net/webtoon/818588/thumbnail/thumbnail_IMAG21_1819294f-07f1-439c-8a25-7bd880840fef.jpg,"박만사, 백두,백두",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=818588
naver_802033,"집사, 주세요!",https://image-comic.pstatic.net/webtoon/802033/thumbnail/thumbnail_IMAG21_ccce5530-0976-4a0d-b76c-d54c5620cdd5.jpg,"꾀돌이",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=802033
naver_774870,"찌질하지만 로맨스는 하고 싶어",https://image-comic.pstatic.net/webtoon/774870/thumbnail/thumbnail_IMAG21_7edc26e1-5aa3-4574-908c-d3df9b331faf.jpg,"상수",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=774870
naver_821763,"찔레꽃 그늘 아래",https://image-comic.pstatic.net/webtoon/821763/thumbnail/thumbnail_IMAG21_e30b6d66-4e6e-4c6f-91e8-13fa3f6f8d59.jpg,"해람,홍이",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=821763
naver_758037,"참교육",https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_15cb2611-34c0-4f02-a689-41d0b1016579.jpg,"채용택,한가람",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=758037
naver_819716,"처음을 줄게!",https://image-comic.pstatic.net/webtoon/819716/thumbnail/thumbnail_IMAG21_823db330-b393-460c-ba64-91218078192b.jpg,"을승",MON,NAVER,https://comic.naver.com/webtoon/list?titleId=819716
